data,model,seq_len,pred_len,lr,mse,mae,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout
Africa_g_cases_2020_2022,tsmixer,10,1,0.01,0.000395872,0.017403632,0.001450972,0.024469486,0.038184367,0.104316369,20.47533822,L,relu,2,0.05
Europe_g_cases_2020_2022,tsmixer,10,1,0.01,0.020683689,0.095683306,0.004850639,0.056856286,0.293602079,0.261975437,16.34908795,L,relu,2,0.05
germany_g_cases_2020_2022,tsmixer,10,1,0.01,0.002878411,0.04226831,0.001797176,0.034792613,0.137982398,0.096067145,17.7422483,L,relu,2,0.05
North_America_g_cases_2020_2022,tsmixer,10,1,0.01,0.005407745,0.054610975,0.002316223,0.034799892,0.043523341,0.117133975,15.42710567,L,relu,2,0.05
gdata_3month,tsmixer,10,1,0.01,0.092109174,0.239577159,1.314940333,1.072671533,1.204184413,0.752148509,7.678555489,L,relu,2,0.05
KBest_agg_avg,tsmixer,10,1,0.01,0.159329027,0.324189454,0.058054812,0.196067259,0.347489685,0.394207746,13.59521484,L,relu,2,0.05
KBest_agg_max,tsmixer,10,1,0.01,0.13485764,0.346693128,0.115833484,0.277250379,0.794356287,0.549495339,10.78891087,L,relu,2,0.05
KBest_agg_min,tsmixer,10,1,0.01,0.321703941,0.413776994,0.106159844,0.24620311,0.309559226,0.3722682,14.04986715,L,relu,2,0.05
KBest_agg_sum,tsmixer,10,1,0.01,0.158433586,0.321223259,0.134131551,0.319146693,0.474460244,0.494904459,11.04575682,L,relu,2,0.05
RFE_agg_avg,tsmixer,10,1,0.01,0.085527778,0.204451218,0.059369225,0.215535283,0.220255882,0.361286312,17.61922812,L,relu,2,0.05
RFE_agg_max,tsmixer,10,1,0.01,0.176327065,0.311737925,0.054297961,0.210397094,0.258366138,0.40113464,14.20941806,L,relu,2,0.05
RFE_agg_min,tsmixer,10,1,0.01,0.074996486,0.20252274,0.14139244,0.278803855,0.222174704,0.342189938,13.72428083,L,relu,2,0.05
RFE_agg_sum,tsmixer,10,1,0.01,0.090140395,0.224319249,1.656988859,1.037265778,1.368138552,0.780935705,5.365950108,L,relu,2,0.05
